dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,seed,method,accuracy,ece_percent,adaptive_ece_percent,brier,auroc
chartqa,m3,1,1,1,1,1,43,Temperature Scaling (TS),6.0,48.0775015148002,48.07750151480021,0.2811569275190925,0.86541445035461
chartqa,m3,1,1,1,1,1,43,Platt Scaling (1D),6.0,2.66610631760209,3.44998199992531,0.04106814333999353,0.86541445035461
chartqa,m3,1,1,1,1,1,43,Trajectory Platt (5D),6.0,2.7034810452023517,3.4851114951306954,0.041108733705845314,0.86541445035461
chartqa,m3,1,1,1,1,1,44,Naive Confidence (NC),6.0,72.4354613982141,72.4354613982141,0.6087757508294298,0.8962765957446809
chartqa,m3,1,1,1,1,1,44,Temperature Scaling (TS),6.0,47.88563815654844,47.730317118615204,0.2768576856598334,0.8962765957446809
chartqa,m3,1,1,1,1,1,44,Platt Scaling (1D),6.0,1.8937525298713058,2.822713700610108,0.0385144154458077,0.8962765957446809
chartqa,m3,1,1,1,1,1,44,Trajectory Platt (5D),6.0,1.9304127396317199,2.853578455862589,0.03859123179399079,0.8962765957446809
chartqa,m3,1,1,1,1,1,45,Naive Confidence (NC),6.0,72.63875111564995,72.63875111564995,0.6119010342996087,0.8374889184397163
chartqa,m3,1,1,1,1,1,45,Temperature Scaling (TS),6.0,47.74891819200211,47.7489181920021,0.27936310972847417,0.8374889184397163
chartqa,m3,1,1,1,1,1,45,Platt Scaling (1D),6.0,1.8451836033336544,2.4484236902385015,0.048795755117250914,0.8374889184397163
chartqa,m3,1,1,1,1,1,45,Trajectory Platt (5D),6.0,1.345542093506083,2.424629879184067,0.04875349327865954,0.8374889184397163
chartqa,m3,1,1,1,1,1,46,Naive Confidence (NC),6.0,72.9470378831029,72.9470378831029,0.6195952303637412,0.8351063829787233
chartqa,m3,1,1,1,1,1,46,Temperature Scaling (TS),6.0,47.98933167899069,47.834010641057446,0.2797971200936433,0.8351063829787233
chartqa,m3,1,1,1,1,1,46,Platt Scaling (1D),6.0,1.386416800901273,2.7029877910077125,0.043382716186797,0.8351063829787233
chartqa,m3,1,1,1,1,1,46,Trajectory Platt (5D),6.0,1.4196727573871613,2.728621085640043,0.0434316584144417,0.8351063829787233
